Date,Day,Usage
23/06/2021,WED,1308979
22/06/2021,TUE,1291245
21/06/2021,MON,1201896
20/06/2021,SUN,688197
19/06/2021,SAT,954457
18/06/2021,FRI,1224772
17/06/2021,THU,1261421
16/06/2021,WED,1287268
15/06/2021,TUE,1283962
14/06/2021,MON,1234203
13/06/2021,SUN,723187
12/06/2021,SAT,978857
11/06/2021,FRI,1314243
10/06/2021,THU,1300223
09/06/2021,WED,1297414
08/06/2021,TUE,1285211
07/06/2021,MON,1219143
06/06/2021,SUN,690932
05/06/2021,SAT,973487
04/06/2021,FRI,1049657
03/06/2021,THU,1122502
02/06/2021,WED,1109684
01/06/2021,TUE,1111385
31/05/2021,MON,792202
30/05/2021,SUN,737277
29/05/2021,SAT,963945
28/05/2021,FRI,1310284
27/05/2021,THU,1310449
26/05/2021,WED,1290918
25/05/2021,TUE,1268428
24/05/2021,MON,1214996
23/05/2021,SUN,656707
22/05/2021,SAT,932738
21/05/2021,FRI,1278542
20/05/2021,THU,1279532
19/05/2021,WED,1282740
18/05/2021,TUE,1267008
17/05/2021,MON,1221699
16/05/2021,SUN,585474
15/05/2021,SAT,836780
14/05/2021,FRI,1234231
13/05/2021,THU,1141741
12/05/2021,WED,1233721
11/05/2021,TUE,1238414
10/05/2021,MON,1197063
09/05/2021,SUN,626899
08/05/2021,SAT,745109
07/05/2021,FRI,1255641
06/05/2021,THU,1220722
05/05/2021,WED,1216183
04/05/2021,TUE,1188807
03/05/2021,MON,633111
02/05/2021,SUN,607101
01/05/2021,SAT,841075
30/04/2021,FRI,1243069
29/04/2021,THU,1219508
28/04/2021,WED,1190589
27/04/2021,TUE,1214403
26/04/2021,MON,1181866
25/04/2021,SUN,598890
24/04/2021,SAT,853868
23/04/2021,FRI,1219362
22/04/2021,THU,1214143
21/04/2021,WED,1196496
20/04/2021,TUE,1203494
19/04/2021,MON,1144623
18/04/2021,SUN,597994
17/04/2021,SAT,813186
16/04/2021,FRI,1014514
15/04/2021,THU,960608
14/04/2021,WED,981352
13/04/2021,TUE,971599
12/04/2021,MON,974277
11/04/2021,SUN,478819
10/04/2021,SAT,613421
09/04/2021,FRI,843653
08/04/2021,THU,825049
07/04/2021,WED,805361
06/04/2021,TUE,814074
05/04/2021,MON,481845
04/04/2021,SUN,439933
03/04/2021,SAT,612299
02/04/2021,FRI,613870
01/04/2021,THU,950612
31/03/2021,WED,1022624
30/03/2021,TUE,1055823
29/03/2021,MON,1014648
28/03/2021,SUN,410851
27/03/2021,SAT,634107
26/03/2021,FRI,1011113
25/03/2021,THU,1022810
24/03/2021,WED,1018881
23/03/2021,TUE,1026474
22/03/2021,MON,1020142
21/03/2021,SUN,429064
20/03/2021,SAT,598319
19/03/2021,FRI,1043494
18/03/2021,THU,1001285
17/03/2021,WED,994496
16/03/2021,TUE,1007416
15/03/2021,MON,991621
14/03/2021,SUN,414734
13/03/2021,SAT,587875
12/03/2021,FRI,1002407
11/03/2021,THU,965674
10/03/2021,WED,897738
09/03/2021,TUE,934788
08/03/2021,MON,858003
07/03/2021,SUN,402460
06/03/2021,SAT,555146
05/03/2021,FRI,755880
04/03/2021,THU,713662
03/03/2021,WED,690626
02/03/2021,TUE,709786
01/03/2021,MON,703027
28/02/2021,SUN,388750
27/02/2021,SAT,574906
26/02/2021,FRI,741900
25/02/2021,THU,684920
24/02/2021,WED,688835
23/02/2021,TUE,689849
22/02/2021,MON,646435
21/02/2021,SUN,373397
20/02/2021,SAT,535992
19/02/2021,FRI,680068
18/02/2021,THU,654144
17/02/2021,WED,649232
16/02/2021,TUE,641875
15/02/2021,MON,644318
14/02/2021,SUN,344954
13/02/2021,SAT,486119
12/02/2021,FRI,663692
11/02/2021,THU,634477
10/02/2021,WED,640006
09/02/2021,TUE,592886
08/02/2021,MON,584819
07/02/2021,SUN,304363
06/02/2021,SAT,488524
05/02/2021,FRI,688693
04/02/2021,THU,635322
03/02/2021,WED,628336
02/02/2021,TUE,643814
01/02/2021,MON,632461
31/01/2021,SUN,340754
30/01/2021,SAT,436335
29/01/2021,FRI,645718
28/01/2021,THU,627043
27/01/2021,WED,618283
26/01/2021,TUE,604913
25/01/2021,MON,614842
24/01/2021,SUN,288804
23/01/2021,SAT,466330
22/01/2021,FRI,640058
21/01/2021,THU,616429
20/01/2021,WED,580716
19/01/2021,TUE,598785
18/01/2021,MON,601704
17/01/2021,SUN,327804
16/01/2021,SAT,414975
15/01/2021,FRI,619012
14/01/2021,THU,559966
13/01/2021,WED,571120
12/01/2021,TUE,581363
11/01/2021,MON,586663
10/01/2021,SUN,295940
09/01/2021,SAT,432519
08/01/2021,FRI,594533
07/01/2021,THU,588529
06/01/2021,WED,595321
05/01/2021,TUE,591355
04/01/2021,MON,613674
03/01/2021,SUN,330860
02/01/2021,SAT,426533
01/01/2021,FRI,261241
31/12/2020,THU,534879
30/12/2020,WED,554908
29/12/2020,TUE,540628
28/12/2020,MON,395726
27/12/2020,SUN,331718
26/12/2020,SAT,281812
25/12/2020,FRI,183
24/12/2020,THU,574978
23/12/2020,WED,664557
22/12/2020,TUE,683516
21/12/2020,MON,682186
20/12/2020,SUN,442431
19/12/2020,SAT,751493
18/12/2020,FRI,959185
17/12/2020,THU,1051907
16/12/2020,WED,1050205
15/12/2020,TUE,1200801
14/12/2020,MON,1141613
13/12/2020,SUN,596269
12/12/2020,SAT,887184
11/12/2020,FRI,1212916
10/12/2020,THU,1195921
09/12/2020,WED,1195765
08/12/2020,TUE,1196177
07/12/2020,MON,1166645
06/12/2020,SUN,612744
05/12/2020,SAT,888354
04/12/2020,FRI,1210291
03/12/2020,THU,1141560
02/12/2020,WED,1179203
01/12/2020,TUE,1078840
30/11/2020,MON,1032665
29/11/2020,SUN,426169
28/11/2020,SAT,626143
27/11/2020,FRI,1028841
26/11/2020,THU,1046384
25/11/2020,WED,1028823
24/11/2020,TUE,1049815
23/11/2020,MON,1028220
22/11/2020,SUN,433466
21/11/2020,SAT,612519
20/11/2020,FRI,1028276
19/11/2020,THU,1029900
18/11/2020,WED,1039051
17/11/2020,TUE,1045259
16/11/2020,MON,1030418
15/11/2020,SUN,406652
14/11/2020,SAT,556326
